行为时间,DAU,语音房人数,语音房渗透率,充值人数,充值金额日元,大盘充值率,语音房充值率,ARPU(日元),ARPPU(日元),充值金额（美金）,充值星粒数,每星粒价值X日元
2023/1/1,110800,16125,14.55%,395,1766230,0.36%,2.45%,15.94,4471.47,12187.62,475590,3.714
2023/1/2,110117,17059,15.49%,341,1112670,0.31%,2.00%,10.1,3262.96,7677.82,299160,3.719
2023/1/3,111611,18631,16.69%,335,1116380,0.30%,1.80%,10,3332.48,7703.42,301590,3.702
2023/1/4,112012,19389,17.31%,312,1245750,0.28%,1.61%,11.12,3992.79,8596.12,336670,3.7
2023/1/5,112281,19584,17.44%,422,1172680,0.38%,2.15%,10.44,2778.86,8091.91,315310,3.719
2023/1/6,114071,19613,17.19%,325,1091150,0.28%,1.66%,9.57,3357.38,7529.33,292070,3.736
2023/1/7,114835,20174,17.57%,277,746840,0.24%,1.37%,6.5,2696.17,5153.46,199640,3.741
2023/1/8,115557,20224,17.50%,290,536710,0.25%,1.43%,4.64,1850.72,3703.49,144220,3.721
2023/1/9,117586,21076,17.92%,277,638690,0.24%,1.31%,5.43,2305.74,4407.19,171290,3.729
2023/1/10,116390,20043,17.22%,304,1104970,0.26%,1.52%,9.49,3634.77,7624.69,297930,3.709
2023/1/11,116662,19901,17.06%,245,604090,0.21%,1.23%,5.18,2465.67,4168.44,162660,3.714
2023/1/12,115197,20094,17.44%,360,1134870,0.31%,1.79%,9.85,3152.42,7831.01,305250,3.718
2023/1/13,117564,20474,17.42%,372,952690,0.32%,1.82%,8.1,2560.99,6573.9,257010,3.707
2023/1/14,116702,21290,18.24%,337,925820,0.29%,1.58%,7.93,2747.24,6388.49,248770,3.722
2023/1/15,119430,21861,18.30%,306,782840,0.26%,1.40%,6.55,2558.3,5401.88,210200,3.724
2023/1/16,117369,20712,17.65%,299,1010610,0.25%,1.44%,8.61,3379.97,6973.57,272250,3.712
2023/1/17,116584,20766,17.81%,268,592010,0.23%,1.29%,5.08,2208.99,4085.08,159780,3.705
2023/1/18,119166,21026,17.64%,297,808200,0.25%,1.41%,6.78,2721.21,5576.87,218650,3.696
2023/1/19,117070,20915,17.87%,399,1270050,0.34%,1.91%,10.85,3183.08,8763.8,341060,3.724
2023/1/20,118109,20954,17.74%,323,1668820,0.27%,1.54%,14.13,5166.63,11515.46,446260,3.74
2023/1/21,117157,21197,18.09%,385,1429690,0.33%,1.82%,12.2,3713.48,9865.37,387330,3.691
2023/1/22,119890,21730,18.12%,303,874770,0.25%,1.39%,7.3,2887.03,6036.23,235370,3.717
2023/1/23,118567,21340,18.00%,265,681600,0.22%,1.24%,5.75,2572.08,4703.28,184180,3.701
2023/1/24,119575,21602,18.07%,265,890890,0.22%,1.23%,7.45,3361.85,6147.46,239660,3.717
2023/1/25,118672,21604,18.20%,266,494850,0.22%,1.23%,4.17,1860.34,3414.64,133790,3.699
2023/1/26,117367,21159,18.03%,378,1382810,0.32%,1.79%,11.78,3658.23,9541.89,372380,3.713
2023/1/27,118332,21573,18.23%,305,694760,0.26%,1.41%,5.87,2277.9,4794.09,186650,3.722
2023/1/28,118490,21848,18.44%,289,806980,0.24%,1.32%,6.81,2792.32,5568.45,218780,3.689
2023/1/29,121363,22379,18.44%,268,689350,0.22%,1.20%,5.68,2572.2,4756.76,184750,3.731
2023/1/30,118707,21396,18.02%,248,462670,0.21%,1.16%,3.9,1865.6,3192.59,124650,3.712
2023/1/31,119473,21393,17.91%,317,1288650,0.27%,1.48%,10.79,4065.14,8892.15,345620,3.729
2023/2/1,118819,21575,18.16%,489,2322440,0.41%,2.27%,19.55,4749.37,16025.67,626490,3.707
2023/2/2,119420,21812,18.26%,574,2005280,0.48%,2.63%,16.79,3493.52,13837.15,543780,3.688
2023/2/3,121679,22204,18.25%,465,1573660,0.38%,2.09%,12.93,3384.22,10858.82,426340,3.691
2023/2/4,122814,22383,18.23%,401,1266140,0.33%,1.79%,10.31,3157.46,8736.82,342180,3.7
2023/2/5,131281,23827,18.15%,432,1169600,0.33%,1.81%,8.91,2707.41,8070.66,317570,3.683
2023/2/6,130232,23418,17.98%,409,1875020,0.31%,1.75%,14.4,4584.4,12938.31,507520,3.694
2023/2/7,128405,23375,18.20%,351,863950,0.27%,1.50%,6.73,2461.4,5961.57,233680,3.697
2023/2/8,126938,23459,18.48%,321,829820,0.25%,1.37%,6.54,2585.11,5726.06,223950,3.705
2023/2/9,124280,22992,18.50%,420,1129470,0.34%,1.83%,9.09,2689.21,7793.75,304350,3.711
2023/2/10,127747,23684,18.54%,386,1217760,0.30%,1.63%,9.53,3154.82,8402.98,329370,3.697
2023/2/11,127943,23453,18.33%,361,1479170,0.28%,1.54%,11.56,4097.42,10206.8,399180,3.706
2023/2/12,128777,23955,18.60%,372,1761050,0.29%,1.55%,13.68,4734.01,12151.88,473400,3.72
2023/2/13,128880,23604,18.31%,327,722230,0.25%,1.39%,5.6,2208.65,4983.65,195780,3.689
2023/2/14,125065,22810,18.24%,361,1024440,0.29%,1.58%,8.19,2837.78,7069,278060,3.684
2023/2/15,124687,22805,18.29%,323,914310,0.26%,1.42%,7.33,2830.68,6309.07,245300,3.727
2023/2/16,121628,22907,18.83%,523,1933940,0.43%,2.28%,15.9,3697.78,13344.88,521620,3.708
2023/2/17,125942,22870,18.16%,412,1569890,0.33%,1.80%,12.47,3810.41,10832.8,426500,3.681
2023/2/18,127396,23810,18.69%,401,1163210,0.31%,1.68%,9.13,2900.77,8026.57,316660,3.673
2023/2/19,129709,24519,18.90%,438,1152480,0.34%,1.79%,8.89,2631.23,7952.53,312580,3.687
2023/2/20,125605,23384,18.62%,366,1488500,0.29%,1.57%,11.85,4066.94,10271.18,399290,3.728
2023/2/21,123635,23096,18.68%,349,1111930,0.28%,1.51%,8.99,3186.05,7672.72,299720,3.71
2023/2/22,121819,23166,19.02%,353,1120220,0.29%,1.52%,9.2,3173.43,7729.92,301890,3.711
2023/2/23,126882,23847,18.79%,519,3064330,0.41%,2.18%,24.15,5904.3,21144.98,826790,3.706
2023/2/24,128474,23386,18.20%,471,1940260,0.37%,2.01%,15.1,4119.45,13388.49,523490,3.706
2023/2/25,124968,23441,18.76%,347,1431780,0.28%,1.48%,11.46,4126.17,9879.8,386920,3.7
2023/2/26,124683,23627,18.95%,380,1098510,0.30%,1.61%,8.81,2890.82,7580.11,297390,3.694
2023/2/27,124109,22538,18.16%,306,1036270,0.25%,1.36%,8.35,3386.5,7150.63,278570,3.72
2023/2/28,120663,22761,18.86%,435,1691330,0.36%,1.91%,14.02,3888.11,11670.78,458220,3.691
2023/3/1,120588,22896,18.99%,546,2840140,0.45%,2.38%,23.55,5201.72,19597.99,764980,3.713
2023/3/2,118250,22944,19.40%,668,2990280,0.56%,2.91%,25.29,4476.47,20634,809530,3.694
2023/3/3,120546,22526,18.69%,541,2165450,0.45%,2.40%,17.96,4002.68,14942.38,587040,3.689
2023/3/4,119162,23032,19.33%,389,1476610,0.33%,1.69%,12.39,3795.91,10189.14,396360,3.725
2023/3/5,121719,23612,19.40%,402,927320,0.33%,1.70%,7.62,2306.77,6398.84,251670,3.685
2023/3/6,120298,22711,18.88%,388,1588850,0.32%,1.71%,13.21,4094.97,10963.64,429540,3.699
2023/3/7,119439,22849,19.13%,342,907270,0.29%,1.50%,7.6,2652.84,6260.49,246270,3.684
2023/3/8,119258,22699,19.03%,348,884610,0.29%,1.53%,7.42,2541.98,6104.13,240610,3.677
2023/3/9,117118,22500,19.21%,513,1921930,0.44%,2.28%,16.41,3746.45,13262.01,519480,3.7
2023/3/10,119745,22441,18.74%,784,3434270,0.65%,3.49%,28.68,4380.45,23697.7,926710,3.706
2023/3/11,118767,22586,19.02%,892,3124560,0.75%,3.95%,26.31,3502.87,21560.59,841090,3.715
2023/3/12,119471,23091,19.33%,760,2382890,0.64%,3.29%,19.95,3135.38,16442.8,642860,3.707
2023/3/13,118723,22782,19.19%,593,1529960,0.50%,2.60%,12.89,2580.03,10557.27,412140,3.712
2023/3/14,116738,22077,18.91%,567,1546760,0.49%,2.57%,13.25,2727.97,10673.2,418290,3.698
2023/3/15,116670,22297,19.11%,523,1499300,0.45%,2.35%,12.85,2866.73,10345.71,402860,3.722
2023/3/16,114284,21928,19.19%,614,2012360,0.54%,2.80%,17.61,3277.46,13886.01,541780,3.714
2023/3/17,116921,21974,18.79%,560,1753180,0.48%,2.55%,14.99,3130.68,12097.57,474260,3.697
2023/3/18,115037,22118,19.23%,520,1684090,0.45%,2.35%,14.64,3238.63,11620.83,456410,3.69
2023/3/19,116224,22289,19.18%,488,1573260,0.42%,2.19%,13.54,3223.89,10856.06,425170,3.7
2023/3/20,115093,22306,19.38%,530,1458240,0.46%,2.38%,12.67,2751.4,10062.38,391730,3.723
