日期,总收入,昨日日税前总收入,税前总收入环比昨日,上周税前总收入,税前总收入同比上周,截止当日的月日均收入(美元),上个月的全月日均收入(美元),月日均值同比上个月,截止当日的本季度总收入(人民币),当日双端税前金币收入,昨日日双端税前金币收入,双端税前金币收入环比昨日,上周双端税前金币收入,双端税前金币收入同比上周,当日web充值收入,当日web充值收入占比,昨日web充值收入,web充值收入环比昨日,上周web充值收入,web充值收入同比上周,当日双端税前订阅收入,昨日双端税前订阅收入,双端税前订阅收入环比昨日,上周双端税前订阅收入,双端税前订阅收入同比上周,当日广告收入,昨日广收入,广告收入环比昨日,上周的广告收入,广告收入同比上周,上个月同期税前总收入,税前总收入环比上个月,上个月同期月日均值(美元),截止昨天月日均值同比上个月同期月日均值
2025-03-07,85996.77,60065.29,0.4317,116875.4,-0.2642,99448.75,75988.46,0.3087,36331167.73,28826.66,20623.67,0.3977,45350.38,-0.3644,53219.63,0.6189,34994.45,0.5208,67434.08,-0.2108,2978.06,3442.05,-0.1348,3195.93,-0.0682,972.42,1005.12,-0.0325,895.02,0.0865,66974.55,0.284,92250.07,0.078
2025-03-08,62691.6,85996.77,-0.271,218346.13,-0.7129,94854.11,75988.46,0.2483,36779412.67,25448.07,28826.66,-0.1172,109829.12,-0.7683,33044.68,0.5271,53219.63,-0.3791,96587.86,-0.6579,3179,2978.06,0.0675,11022.35,-0.7116,1019.85,972.42,0.0488,906.8,0.1247,61770.29,0.0149,88440.1,0.0725
2025-03-09,63163.86,62691.6,0.0075,89861.79,-0.2971,91332.97,75988.46,0.2019,37231034.27,22639.49,25448.07,-0.1104,33094.34,-0.3159,36157.16,0.5724,33044.68,0.0942,48116.28,-0.2485,3325.72,3179,0.0462,7720.69,-0.5692,1041.49,1019.85,0.0212,930.47,0.1193,64344.4,-0.0183,85762.8,0.0649
2025-03-10,79867.37,63163.86,0.2644,82771.23,-0.0351,90186.41,75988.46,0.1868,37802085.97,18996.37,22639.49,-0.1609,28055.59,-0.3229,56937.44,0.7129,36157.16,0.5747,49831.37,0.1426,2944.54,3325.72,-0.1146,3953.61,-0.2552,989.01,1041.49,-0.0504,930.66,0.0627,73309.72,0.0895,84517.49,0.0671
2025-03-11,69378.18,79867.37,-0.1313,73200.88,-0.0522,88294.75,75988.46,0.1619,38298139.96,21390.36,18996.37,0.126,23794.69,-0.101,44397.01,0.6399,56937.44,-0.2202,44676.94,-0.0063,2651.38,2944.54,-0.0996,3768.05,-0.2964,939.43,989.01,-0.0501,961.2,-0.0226,53075.6,0.3072,81659.13,0.0813
2025-03-12,60597.27,69378.18,-0.1266,85899.17,-0.2946,85986.63,75988.46,0.1316,38731410.44,18493.6,21390.36,-0.1354,24934.07,-0.2583,38650.71,0.6378,44397.01,-0.1294,56641.2,-0.3176,2484.7,2651.38,-0.0629,3330.58,-0.254,968.27,939.43,0.0307,993.32,-0.0252,53591.84,0.1307,79320.19,0.084
2025-03-13,53682.82,60597.27,-0.1141,60065.29,-0.1063,83501.72,75988.46,0.0989,39115242.6,15180.46,18493.6,-0.1792,20623.67,-0.2639,34804.38,0.6483,38650.71,-0.0995,34994.45,-0.0054,2755.7,2484.7,0.1091,3442.05,-0.1994,942.28,968.27,-0.0268,1005.12,-0.0625,71857.92,-0.2529,78746.17,0.0604
2025-03-14,98465.77,53682.82,0.8342,85996.77,0.145,84570.58,75988.46,0.1129,39819272.86,26664.96,15180.46,0.7565,28826.66,-0.075,68127.91,0.6919,34804.38,0.9575,53219.63,0.2801,2765.62,2755.7,0.0036,2978.06,-0.0713,907.29,942.28,-0.0371,972.42,-0.067,99099.93,-0.0064,80200.01,0.0545
2025-03-15,59185.07,98465.77,-0.3989,62691.6,-0.0559,82878.21,75988.46,0.0907,40242446.11,17706.85,26664.96,-0.336,25448.07,-0.3042,37741.24,0.6377,68127.91,-0.446,33044.68,0.1421,2804.44,2765.62,0.014,3179,-0.1178,932.54,907.29,0.0278,1019.85,-0.0856,75718.99,-0.2184,79901.28,0.0373
2025-03-16,68978.69,59185.07,0.1655,63163.86,0.0921,82009.49,75988.46,0.0792,40735643.74,17708.02,17706.85,0.0001,22639.49,-0.2178,47608.21,0.6902,37741.24,0.2614,36157.16,0.3167,2733.56,2804.44,-0.0253,3325.72,-0.1781,928.9,932.54,-0.0039,1041.49,-0.1081,67196.79,0.0265,79107.25,0.0367
